identifier,runeName,abilityIds,runeType,runeSlot,availableTypes,availableDragons,rarityIndex,salvageValueId,enhanceCosts,aura,icon,isTutorialRune,h
String,LocalizedString,Array<String>,String,String,String,String,String,String,String,String,String,Integer,String
attackRune0,Common Rage,rune_ability_1_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,specialWhelp,rune_rage_strength_01.png,1,
attackTowerRune0,Common Cannon Attack,rune_ability_2_0,monument,normal,,,0,rune_salvage_0,runeDust:500,attackRuneCannon,rune_cannon_damage_01.png,1,
Common_AOESpellDamageIncreaseModifierKey,Common Fireball,rune_ability_3_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,attackWhelp,rune_fireball_strength_01.png,,
Common_AOESpellDamageIncreaseModifierKeyEvent,Common Fireball Glyph,rune_ability_4_0,dragon,event,,,0,rune_salvage_0,runeDust:500,attackWhelp,rune_windWall_EXP_duration_01.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_archerTower,Common Archer Attack,rune_ability_5_0,monument,normal,,,0,rune_salvage_0,runeDust:500,attackRuneArcher,rune_archer_projectiles_01.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_archerTowerEvent,Common Archer Attack Glyph,rune_ability_6_0,monument,event,,,0,rune_salvage_0,runeDust:500,attackRuneArcher,rune_ballista_projectiles_utility_01.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_ballista,Common Ballista Attack,rune_ability_7_0,monument,normal,,,0,rune_salvage_0,runeDust:500,attackRunePoison,rune_ballista_damage_01.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_ballistaEvent,Common Ballista Attack Glyph,rune_ability_8_0,monument,event,,,0,rune_salvage_0,runeDust:500,attackRunePoison,rune_ballista_damage_01_event.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_cannonTower,Common Cannon Attack,rune_ability_9_0,monument,normal,,,0,rune_salvage_0,runeDust:500,attackRuneCannon,rune_cannon_damage_01.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_cannonTowerEvent,Common Cannon Attack Glyph,rune_ability_10_0,monument,event,,,0,rune_salvage_0,runeDust:500,attackRuneCannon,rune_cannon_damage_01_event.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_lightningTower,Common Lightning Attack,rune_ability_11_0,monument,normal,,,0,rune_salvage_0,runeDust:500,attackRuneLightning,rune_lightning_damage_01.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_lightningTowerEvent,Common Lightning Attack Glyph,rune_ability_12_0,monument,event,,,0,rune_salvage_0,runeDust:500,attackRuneLightning,rune_lightning_damage_01_event.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_stormTower,Common Storm Attack,rune_ability_13_0,monument,normal,,,0,rune_salvage_0,runeDust:500,attackRuneStorm,rune_stormTower_utility_01.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_stormTowerEvent,Common Storm Attack Glyph,rune_ability_14_0,monument,event,,,0,rune_salvage_0,runeDust:500,attackRuneStorm,rune_stormTower_utility_01_event.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_trebuchet,Common Trebuchet Attack,rune_ability_15_0,monument,normal,,,0,rune_salvage_0,runeDust:500,attackRuneTrebuchet,rune_trebuchet_damage_01.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_trebuchetEvent,Common Trebuchet Attack Glyph,rune_ability_16_0,monument,event,,,0,rune_salvage_0,runeDust:500,attackRuneTrebuchet,rune_trebuchet_damage_01_event.png,,
Common_ballistaPoisonAffectDamageToDragonModifier,Common Weakening,rune_ability_17_0,monument,normal,,,0,rune_salvage_0,runeDust:500,monumentPoison,rune_ballista_debuffDefense_01.png,,
Common_ballistaPoisonAffectDragonDamageModifier,Common Enervating,rune_ability_18_0,monument,normal,,,0,rune_salvage_0,runeDust:500,monumentPoison,rune_ballista_debuffAttack_01.png,,
Common_battlecryAttackModifier,Common Warrior Attack,rune_ability_19_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,attackWhelp,rune_warrior_damage_01.png,,
Common_battlecryAttackModifierEvent,Common Warrior Attack Glyph,rune_ability_20_0,dragon,event,,,0,rune_salvage_0,runeDust:500,attackWhelp,rune_warrior_damage_01_event.png,,
Common_buildingProductionModifier_hogFarm,Common Food Production,rune_ability_21_0,monument,normal,,,0,rune_salvage_0,runeDust:500,monumentHealing,rune_farm_production_01.png,,
Common_buildingProductionModifier_lumberMill,Common Lumber Production,rune_ability_22_0,monument,normal,,,0,rune_salvage_0,runeDust:500,monumentHealing,rune_mill_production_01.png,,
Common_buildingSpecialAttackModifier_archerTower,Common Archer Striker,rune_ability_23_0,monument,normal,,,0,rune_salvage_0,runeDust:500,monumentArcher,rune_archer_damage_01.png,,
Common_buildingSpecialAttackModifier_archerTowerEvent,Common Archer Striker Glyph,rune_ability_24_0,monument,event,,,0,rune_salvage_0,runeDust:500,monumentArcher,rune_ballista_projectiles_utility_01.png,,
Common_buildingSpecialAttackModifier_ballista,Common Poison Striker,rune_ability_25_0,monument,normal,,,0,rune_salvage_0,runeDust:500,monumentPoison,rune_ballista_damage_01.png,,
Common_buildingSpecialAttackModifier_ballistaEvent,Common Poison Striker Glyph,rune_ability_26_0,monument,event,,,0,rune_salvage_0,runeDust:500,monumentPoison,rune_ballista_projectiles_utility_01.png,,
Common_buildingSpecialAttackModifier_cannonTower,Common Cannon Striker,rune_ability_27_0,monument,normal,,,0,rune_salvage_0,runeDust:500,monumentCannon,rune_cannon_damage_01.png,,
Common_buildingSpecialAttackModifier_cannonTowerEvent,Common Cannon Striker Glyph,rune_ability_28_0,monument,event,,,0,rune_salvage_0,runeDust:500,monumentCannon,rune_ballista_projectiles_utility_01.png,,
Common_buildingSpecialAttackModifier_hogFarm,Common Healing Striker,rune_ability_29_0,monument,normal,,,0,rune_salvage_0,runeDust:500,monumentHealing,rune_farm_protection_01.png,,
Common_buildingSpecialAttackModifier_hogFarmEvent,Common Healing Striker Glyph,rune_ability_30_0,monument,event,,,0,rune_salvage_0,runeDust:500,monumentHealing,rune_buildTime_utility_01.png,,
Common_buildingSpecialAttackModifier_lightningTower,Common Lightning Striker,rune_ability_31_0,monument,normal,,,0,rune_salvage_0,runeDust:500,monumentLightning,rune_lightning_damage_01.png,,
Common_buildingSpecialAttackModifier_lightningTowerEvent,Common Lightning Striker Glyph,rune_ability_32_0,monument,event,,,0,rune_salvage_0,runeDust:500,monumentLightning,rune_rebuchet_projectiles_damage_01.png,,
Common_buildingSpecialAttackModifier_lumberMill,Common Healing Striker,rune_ability_33_0,monument,normal,,,0,rune_salvage_0,runeDust:500,monumentHealing,rune_mill_protection_01.png,,
Common_buildingSpecialAttackModifier_lumberMillEvent,Common Healing Striker Glyph,rune_ability_34_0,monument,event,,,0,rune_salvage_0,runeDust:500,monumentHealing,rune_mill_protection_01_event.png,,
Common_buildingSpecialAttackModifier_mageBlueTower,Common Blue Mage HP,rune_ability_35_0,monument,normal,,,0,rune_salvage_0,runeDust:500,monumentMystic,rune_blueMage_utility_01.png,,
Common_buildingSpecialAttackModifier_mageBlueTowerEvent,Common Blue Mage HP Glyph,rune_ability_36_0,monument,event,,,0,rune_salvage_0,runeDust:500,monumentMystic,rune_red_blueMage_utility_01.png,,
Common_buildingSpecialAttackModifier_mageTower,Common Red Mage HP,rune_ability_37_0,monument,normal,,,0,rune_salvage_0,runeDust:500,monumentArcane,rune_redMage_utility_01.png,,
Common_buildingSpecialAttackModifier_mageTowerEvent,Common Red Mage HP Glyph,rune_ability_38_0,monument,event,,,0,rune_salvage_0,runeDust:500,monumentArcane,rune_red_blueMage_utility_01.png,,
Common_buildingSpecialAttackModifier_stormTower,Common Storm Striker,rune_ability_39_0,monument,normal,,,0,rune_salvage_0,runeDust:500,monumentStorm,rune_stormTower_utility_01.png,,
Common_buildingSpecialAttackModifier_stormTowerEvent,Common Storm Striker Glyph,rune_ability_40_0,monument,event,,,0,rune_salvage_0,runeDust:500,monumentStorm,rune_buildTime_utility_01.png,,
Common_buildingSpecialAttackModifier_trebuchet,Common Trebuchet Striker,rune_ability_41_0,monument,normal,,,0,rune_salvage_0,runeDust:500,monumentTrebuchet,rune_trebuchet_damage_01.png,,
Common_buildingSpecialAttackModifier_trebuchetEvent,Common Trebuchet Striker Glyph,rune_ability_42_0,monument,event,,,0,rune_salvage_0,runeDust:500,monumentTrebuchet,rune_rebuchet_projectiles_damage_01.png,,
Common_chaosAttackModifier,Common Chaos,rune_ability_43_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,attackWhelp,rune_frenzy_duration_01.png,,
Common_chaosAttackModifierEvent,Common Chaos Glyph,rune_ability_44_0,dragon,event,,,0,rune_salvage_0,runeDust:500,attackWhelp,rune_cloak_EXP_duration_01.png,,
Common_chargedShieldDamageAbsorptionIncreaseModifier,Common Warrior HP,rune_ability_45_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_warrior_HP_01.png,,
Common_chargedShieldDamageAbsorptionIncreaseModifierEvent,Common Warrior HP Glyph,rune_ability_46_0,dragon,event,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_warrior_HP_01_event.png,,
Common_cloakDurationModifier,Common Cloak,rune_ability_47_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_cloak_duration_01.png,,
Common_cloakDurationModifierEvent,Common Cloak Glyph,rune_ability_48_0,dragon,event,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_cloak_EXP_duration_01.png,,
Common_dodgeDurationModifier,Common Evasion,rune_ability_49_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_windWall_duration_01.png,,
Common_dodgeDurationModifierEvent,Common Evasion Glyph,rune_ability_50_0,dragon,event,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_windWall_duration_01_event.png,,
Common_dragonDoubleExplosiveShieldModifier,Common Warrior HP,rune_ability_51_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_warrior_HP_01.png,,
Common_dragonRageGenerationModifier,Common Rage,rune_ability_52_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,specialWhelp,rune_rage_strength_01.png,,
Common_dragonRageGenerationModifierEvent,Common Rage Glyph,rune_ability_53_0,dragon,event,,,0,rune_salvage_0,runeDust:500,specialWhelp,rune_rage_strength_01_event.png,,
Common_dragonXPGainModifier,Common Wisdom,rune_ability_54_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,specialWhelp,rune_EXP_utility_01.png,,
Common_freezeSpellDurationModifier,Common Freeze,rune_ability_55_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,attackWhelp,rune_freeze_duration_01.png,,
Common_freezeSpellDurationModifierEvent,Common Freeze Glyph,rune_ability_56_0,dragon,event,,,0,rune_salvage_0,runeDust:500,attackWhelp,rune_freeze_duration_01_event.png,,
Common_frenzySpellAttackModifier,Common Hunter Attack,rune_ability_57_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,attackWhelp,rune_hunter_damage_01.png,,
Common_frenzySpellAttackModifierEvent,Common Hunter Attack Glyph,rune_ability_58_0,dragon,event,,,0,rune_salvage_0,runeDust:500,attackWhelp,rune_hunter_damage_01_event.png,,
Common_healDragonAttackModifier,Common Warrior HP,rune_ability_59_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_warrior_HP_01.png,,
Common_healDragonDurationMultiplierModifier,Common Rejuvenate,rune_ability_60_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_heal_utility_01.png,,
Common_healDragonDurationMultiplierModifierEvent,Common Rejuvenate Glyph,rune_ability_61_0,dragon,event,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_EXP_heal_utility_01.png,,
Common_healDragonReduceDamageModifier,Common Tough Healing,rune_ability_62_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_rejuvenate_defense_01.png,,
Common_healingMarkIncreaseModifierKey,Common Healing Mark,rune_ability_63_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_healingMark_strength_01.png,,
Common_healingMarkIncreaseModifierKeyEvent,Common Healing Mark Glyph,rune_ability_64_0,dragon,event,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_EXP_heal_utility_01.png,,
Common_hurricaneDurationModifier,Common Wind Wall,rune_ability_65_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_windWall_duration_01.png,,
Common_hurricaneDurationModifierEvent,Common Wind Wall Glyph,rune_ability_66_0,dragon,event,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_windWall_EXP_duration_01.png,,
Common_iceShockSpellDurationModifier,Common Ice Shock,rune_ability_67_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,attackWhelp,rune_freeze_duration_01.png,,
Common_iceShockSpellDurationModifierEvent,Common Ice Shock Glyph,rune_ability_68_0,dragon,event,,,0,rune_salvage_0,runeDust:500,attackWhelp,rune_freeze_duration_01_event.png,,
Common_invertDurationModifier,Common Reverse Projectiles,rune_ability_69_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_invert_duration_01.png,,
Common_invertDurationModifierEvent,Common Reverse Projectiles Glyph,rune_ability_70_0,dragon,event,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_lightningChains_EXP_duration_01.png,,
Common_invincibleSpellDurationModifier,Common Invincibility,rune_ability_71_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_invincibility_duration_01.png,,
Common_invincibleSpellDurationModifierEvent,Common Invincibility Glyph,rune_ability_72_0,dragon,event,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_cloak_EXP_duration_01.png,,
Common_resistAbilityIncreaseModifierKeyFormat_archerTower,Common Archer Resist,rune_ability_73_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_piercing_defense_01.png,,
Common_resistAbilityIncreaseModifierKeyFormat_archerTowerEvent,Common Archer Resist Glyph,rune_ability_74_0,dragon,event,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_piercing_defense_01_event.png,,
Common_resistAbilityIncreaseModifierKeyFormat_ballista,Common Poison Resist,rune_ability_75_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_piercing_defense_01.png,,
Common_resistAbilityIncreaseModifierKeyFormat_ballistaEvent,Common Poison Resist Glyph,rune_ability_76_0,dragon,event,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_piercing_defense_01_event.png,,
Common_resistAbilityIncreaseModifierKeyFormat_cannonTower,Common Cannon Resist,rune_ability_77_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_blunt_defense_01.png,,
Common_resistAbilityIncreaseModifierKeyFormat_cannonTowerEvent,Common Cannon Resist Glyph,rune_ability_78_0,dragon,event,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_EXP_heal_utility_01.png,,
Common_resistAbilityIncreaseModifierKeyFormat_lightningTower,Common Lightning Resist,rune_ability_79_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_elemental_defense_01.png,,
Common_resistAbilityIncreaseModifierKeyFormat_lightningTowerEvent,Common Lightning Resist Glyph,rune_ability_80_0,dragon,event,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_cloak_EXP_duration_01.png,,
Common_resistAbilityIncreaseModifierKeyFormat_stormTower,Common Storm Resist,rune_ability_81_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_elemental_defense_01.png,,
Common_resistAbilityIncreaseModifierKeyFormat_stormTowerEvent,Common Storm Resist Glyph,rune_ability_82_0,dragon,event,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_elemental_defense_01_event.png,,
Common_resistAbilityIncreaseModifierKeyFormat_trebuchet,Common Trebuchet Resist,rune_ability_83_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_blunt_defense_01.png,,
Common_resistAbilityIncreaseModifierKeyFormat_trebuchetEvent,Common Trebuchet Resist Glyph,rune_ability_84_0,dragon,event,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_red_blueMage_utility_01.png,,
Common_reverseDurationModifier,Common Invert,rune_ability_85_0,dragon,normal,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_invert_duration_01.png,,
Common_reverseDurationModifierEvent,Common Invert Glyph,rune_ability_86_0,dragon,event,,,0,rune_salvage_0,runeDust:500,defenseWhelp,rune_lightningChains_EXP_duration_01.png,,
attackGlyph1,Attack Dragon Glyph,rune_ability_87_0|rune_ability_87_1,dragon,event,,,3,rune_salvage_3,runeDust:100|runeDust:1000|runeDust:2000|runeDust:5000,attackWhelp,rune_EXP_heal_utility_02.png,,
defenseTowerGlyph1,Defense Tower Glyph 1,rune_ability_88_0,monument,event,,,3,rune_salvage_3,runeDust:10|runeDust:100|runeDust:200|runeDust:500,archerNoneDamage,rune_red_blueMage_utility_02.png,,
Rare_AOESpellDamageIncreaseModifierKey,Rare Fireball,rune_ability_89_0,dragon,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,attackWhelp,rune_fireball_strength_02.png,,
Rare_AOESpellDamageIncreaseModifierKeyEvent,Rare Fireball Glyph,rune_ability_90_0,dragon,event,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,attackWhelp,rune_windWall_EXP_duration_02.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_archerTower,Rare Archer Attack,rune_ability_91_0,monument,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,attackRuneArcher,rune_archer_projectiles_02.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_archerTowerEvent,Rare Archer Attack Glyph,rune_ability_92_0,monument,event,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,attackRuneArcher,rune_ballista_projectiles_utility_02.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_ballista,Rare Ballista Attack,rune_ability_93_0,monument,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,attackRunePoison,rune_ballista_damage_02.png,,
