identifier,ability,abilityOperator,abilityText,abilityUnit,enhanceValues,h
String,String,LocalizedString,LocalizedString,LocalizedString,Array<String>,String
rune_ability_1_0,dragonRageGenerationModifier,+,Rage Generation,%,0.021|0.027,
rune_ability_2_0,buildingAttackModifier_cannonTower,+,Increase Cannon Tower Attack,%,0.005|0.01,
rune_ability_3_0,spellDamageIncreaseModifier_aoeSpell,+,Fireball Damage,%,0.056|0.072,
rune_ability_4_0,spellDamageIncreaseModifier_aoeSpell,+,Fireball Damage,%,0.056|0.072,
rune_ability_5_0,buildingAttackModifier_archerTower,+,Increase Archer Tower Attack,%,0.005|0.01,
rune_ability_6_0,buildingAttackModifier_archerTower,+,Increase Archer Tower Attack,%,0.005|0.01,
rune_ability_7_0,buildingAttackModifier_ballista,+,Increase Ballista Tower Attack,%,0.005|0.01,
rune_ability_8_0,buildingAttackModifier_ballista,+,Increase Ballista Tower Attack,%,0.005|0.01,
rune_ability_9_0,buildingAttackModifier_cannonTower,+,Increase Cannon Tower Attack,%,0.005|0.01,
rune_ability_10_0,buildingAttackModifier_cannonTower,+,Increase Cannon Tower Attack,%,0.005|0.01,
rune_ability_11_0,buildingAttackModifier_lightningTower,+,Increase Lightning Tower Attack,%,0.005|0.01,
rune_ability_12_0,buildingAttackModifier_lightningTower,+,Increase Lightning Tower Attack,%,0.005|0.01,
rune_ability_13_0,buildingAttackModifier_stormTower,+,Increase Storm Tower Attack,%,0.005|0.01,
rune_ability_14_0,buildingAttackModifier_stormTower,+,Increase Storm Tower Attack,%,0.005|0.01,
rune_ability_15_0,buildingAttackModifier_trebuchet,+,Increase Trebuchet Tower Attack,%,0.005|0.01,
rune_ability_16_0,buildingAttackModifier_trebuchet,+,Increase Trebuchet Tower Attack,%,0.005|0.01,
rune_ability_17_0,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.021|0.027,
rune_ability_18_0,ballistaPoisonAffectDragonDamageModifier,+,Poison Reduces Dragon Damage,%,0.021|0.027,
rune_ability_19_0,dragonClassAttackModifier_warrior,+,Warrior Attack,%,0.005|0.01,
rune_ability_20_0,dragonClassAttackModifier_warrior,+,Warrior Attack,%,0.005|0.01,
rune_ability_21_0,buildingProductionModifier_hogFarm,+,Increase Food Production production,%,0.008|0.011,
rune_ability_22_0,buildingProductionModifier_woodFarm,+,Increase Lumber Production production,%,0.008|0.011,
rune_ability_23_0,buildingSpecialAttackModifier_archerTower,+,Archer Tower Super Shot Damage,%,0.07|0.09,
rune_ability_24_0,buildingSpecialAttackModifier_archerTower,+,Archer Tower Super Shot Damage,%,0.07|0.09,
rune_ability_25_0,buildingSpecialAttackModifier_ballista,+,Ballista Super Shot Damage,%,0.07|0.09,
rune_ability_26_0,buildingSpecialAttackModifier_ballista,+,Ballista Super Shot Damage,%,0.07|0.09,
rune_ability_27_0,buildingSpecialAttackModifier_cannonTower,+,Cannon Tower Super Shot Damage,%,0.07|0.09,
rune_ability_28_0,buildingSpecialAttackModifier_cannonTower,+,Cannon Tower Super Shot Damage,%,0.07|0.09,
rune_ability_29_0,buildingSpecialAttackModifier_hogFarm,+,Sheep Farm Super Shot Heal,%,0.07|0.09,
rune_ability_30_0,buildingSpecialAttackModifier_hogFarm,+,Sheep Farm Super Shot Heal,%,0.07|0.09,
rune_ability_31_0,buildingSpecialAttackModifier_lightningTower,+,Lightning Tower Super Shot Damage,%,0.07|0.09,
rune_ability_32_0,buildingSpecialAttackModifier_lightningTower,+,Lightning Tower Super Shot Damage,%,0.07|0.09,
rune_ability_33_0,buildingSpecialAttackModifier_woodFarm,+,Lumber Mill Super Shot Heal,%,0.07|0.09,
